Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WST,WST,WST,WST,WST,WST
Date,,,,,,
2000-01-03 00:00:00+00:00,5.421758651733398,7.5625,7.71875,7.5625,7.71875,29200
2000-01-04 00:00:00+00:00,5.477772235870361,7.640625,7.6875,7.59375,7.6875,555600
2000-01-05 00:00:00+00:00,5.4553656578063965,7.609375,7.671875,7.5625,7.65625,222400
2000-01-06 00:00:00+00:00,5.399355411529541,7.53125,7.65625,7.5,7.625,97600
2000-01-07 00:00:00+00:00,5.4553656578063965,7.609375,7.65625,7.53125,7.53125,86400
2000-01-10 00:00:00+00:00,5.567387104034424,7.765625,7.796875,7.625,7.625,92400
2000-01-11 00:00:00+00:00,5.41055965423584,7.546875,7.75,7.546875,7.734375,46800
2000-01-12 00:00:00+00:00,5.444163799285889,7.59375,7.59375,7.515625,7.515625,116800
2000-01-13 00:00:00+00:00,5.533779144287109,7.71875,7.75,7.59375,7.59375,69600
2000-01-14 00:00:00+00:00,5.463043212890625,7.578125,7.640625,7.53125,7.640625,149600
2000-01-18 00:00:00+00:00,5.485570907592773,7.609375,7.625,7.578125,7.59375,104000
2000-01-19 00:00:00+00:00,5.496834754943848,7.625,7.625,7.546875,7.546875,244800
2000-01-20 00:00:00+00:00,5.474307060241699,7.59375,7.609375,7.5625,7.59375,93600
2000-01-21 00:00:00+00:00,5.496834754943848,7.625,7.640625,7.59375,7.59375,144000
2000-01-24 00:00:00+00:00,5.474307060241699,7.59375,7.65625,7.59375,7.609375,114400
2000-01-25 00:00:00+00:00,5.710849761962891,7.921875,7.921875,7.578125,7.578125,307600
2000-01-26 00:00:00+00:00,5.699584484100342,7.90625,7.921875,7.890625,7.921875,5200
2000-01-27 00:00:00+00:00,5.564416885375977,7.71875,7.890625,7.71875,7.890625,37600
2000-01-28 00:00:00+00:00,5.598211288452148,7.765625,7.84375,7.703125,7.703125,294400
2000-01-31 00:00:00+00:00,5.575681686401367,7.734375,7.78125,7.65625,7.765625,181200
2000-02-01 00:00:00+00:00,5.620738983154297,7.796875,7.796875,7.734375,7.75,233600
2000-02-02 00:00:00+00:00,5.5080976486206055,7.640625,7.796875,7.625,7.796875,20400
2000-02-03 00:00:00+00:00,5.406722545623779,7.5,7.65625,7.5,7.65625,63200
2000-02-04 00:00:00+00:00,5.372931480407715,7.453125,7.46875,7.453125,7.46875,14800
2000-02-07 00:00:00+00:00,5.54188871383667,7.6875,7.6875,7.453125,7.453125,97200
2000-02-08 00:00:00+00:00,5.665794372558594,7.859375,7.90625,7.71875,7.71875,118400
2000-02-09 00:00:00+00:00,5.654531002044678,7.84375,7.875,7.84375,7.859375,12400
2000-02-10 00:00:00+00:00,5.710849761962891,7.921875,7.96875,7.8125,7.828125,216000
2000-02-11 00:00:00+00:00,5.586946487426758,7.75,7.875,7.75,7.875,101600
2000-02-14 00:00:00+00:00,5.688321113586426,7.890625,7.890625,7.6875,7.75,350000
2000-02-15 00:00:00+00:00,5.113858699798584,7.09375,7.28125,5.75,5.75,1554000
2000-02-16 00:00:00+00:00,5.046274185180664,7.0,7.0625,7.0,7.0625,37200
2000-02-17 00:00:00+00:00,5.249025344848633,7.28125,7.28125,7.0625,7.078125,123200
2000-02-18 00:00:00+00:00,5.147650241851807,7.140625,7.25,7.140625,7.25,33200
2000-02-22 00:00:00+00:00,5.012481689453125,6.953125,7.140625,6.828125,7.140625,284000
2000-02-23 00:00:00+00:00,5.012481689453125,6.953125,6.953125,6.921875,6.921875,33200
2000-02-24 00:00:00+00:00,4.798465728759766,6.65625,6.953125,6.484375,6.953125,149600
2000-02-25 00:00:00+00:00,4.798465728759766,6.65625,6.65625,6.46875,6.640625,134400
2000-02-28 00:00:00+00:00,4.956162452697754,6.875,6.9375,6.59375,6.65625,106000
2000-02-29 00:00:00+00:00,5.30534553527832,7.359375,7.359375,6.875,6.875,187600
2000-03-01 00:00:00+00:00,5.237763404846191,7.265625,7.625,7.25,7.359375,81200
2000-03-02 00:00:00+00:00,5.0688018798828125,7.03125,7.25,7.0,7.25,79200
2000-03-03 00:00:00+00:00,4.944896221160889,6.859375,7.0625,6.859375,7.0625,19200
2000-03-06 00:00:00+00:00,5.012481689453125,6.953125,6.96875,6.765625,6.84375,48400
2000-03-07 00:00:00+00:00,5.001219272613525,6.9375,7.0,6.9375,6.953125,44400
2000-03-08 00:00:00+00:00,4.967423915863037,6.890625,6.96875,6.75,6.9375,115200
2000-03-09 00:00:00+00:00,4.88857889175415,6.78125,6.875,6.75,6.875,28000
2000-03-10 00:00:00+00:00,4.753408908843994,6.59375,6.8125,6.59375,6.8125,50000
2000-03-13 00:00:00+00:00,4.652033805847168,6.453125,6.65625,6.453125,6.65625,72800
2000-03-14 00:00:00+00:00,4.663298606872559,6.46875,6.46875,6.34375,6.46875,230800
2000-03-15 00:00:00+00:00,4.708355903625488,6.53125,6.5625,6.453125,6.46875,41200
2000-03-16 00:00:00+00:00,4.933633327484131,6.84375,6.84375,6.546875,6.546875,68800
2000-03-17 00:00:00+00:00,4.88857889175415,6.78125,6.8125,6.6875,6.78125,82400
2000-03-20 00:00:00+00:00,4.832256317138672,6.703125,6.8125,6.703125,6.8125,32400
2000-03-21 00:00:00+00:00,4.88857889175415,6.78125,6.78125,6.625,6.65625,34800
2000-03-22 00:00:00+00:00,4.798465728759766,6.65625,6.75,6.65625,6.75,31200
2000-03-23 00:00:00+00:00,4.764674663543701,6.609375,6.65625,6.59375,6.65625,38000
2000-03-24 00:00:00+00:00,4.719618320465088,6.546875,6.59375,6.546875,6.59375,65600
2000-03-27 00:00:00+00:00,4.742143630981445,6.578125,6.578125,6.4375,6.5,174000
2000-03-28 00:00:00+00:00,4.719618320465088,6.546875,6.609375,6.546875,6.578125,81200
2000-03-29 00:00:00+00:00,4.573185443878174,6.34375,6.4375,6.28125,6.40625,105200
2000-03-30 00:00:00+00:00,4.787200450897217,6.640625,6.640625,6.3125,6.3125,131200
2000-03-31 00:00:00+00:00,4.561921119689941,6.328125,6.765625,6.328125,6.609375,390400
2000-04-03 00:00:00+00:00,4.415490627288818,6.125,6.375,6.125,6.359375,204400
2000-04-04 00:00:00+00:00,4.370433807373047,6.0625,6.109375,5.96875,6.109375,187200
2000-04-05 00:00:00+00:00,4.460545539855957,6.1875,6.25,6.03125,6.03125,104400
2000-04-06 00:00:00+00:00,4.392962455749512,6.09375,6.234375,6.078125,6.1875,136000
2000-04-07 00:00:00+00:00,4.347906112670898,6.03125,6.140625,6.03125,6.125,31600
2000-04-10 00:00:00+00:00,4.201472282409668,5.828125,6.03125,5.828125,6.03125,89600
2000-04-11 00:00:00+00:00,4.133889675140381,5.734375,5.859375,5.71875,5.859375,106400
2000-04-12 00:00:00+00:00,4.190210342407227,5.8125,5.828125,5.71875,5.734375,188800
2000-04-13 00:00:00+00:00,4.235264301300049,5.875,5.890625,5.75,5.828125,231200
2000-04-14 00:00:00+00:00,4.269058704376221,5.921875,5.96875,5.875,5.90625,79600
2000-04-17 00:00:00+00:00,4.356644153594971,6.0,6.0,5.828125,5.890625,30400
2000-04-18 00:00:00+00:00,4.515480041503906,6.21875,6.25,5.96875,5.96875,111600
2000-04-19 00:00:00+00:00,4.447407245635986,6.125,6.1875,6.0,6.1875,88000
2000-04-20 00:00:00+00:00,4.390678882598877,6.046875,6.140625,6.03125,6.140625,249600
2000-04-24 00:00:00+00:00,4.40202522277832,6.0625,6.0625,6.03125,6.046875,50400
2000-04-25 00:00:00+00:00,4.470097541809082,6.15625,6.15625,6.0,6.03125,220000
2000-04-26 00:00:00+00:00,4.40202522277832,6.0625,6.15625,6.0625,6.15625,28800
2000-04-27 00:00:00+00:00,4.470097541809082,6.15625,6.15625,6.09375,6.09375,15200
2000-04-28 00:00:00+00:00,4.436062812805176,6.109375,6.15625,6.046875,6.15625,64800
2000-05-01 00:00:00+00:00,4.40202522277832,6.0625,6.109375,6.015625,6.09375,70800
2000-05-02 00:00:00+00:00,4.265879154205322,5.875,6.046875,5.875,6.046875,408800
2000-05-03 00:00:00+00:00,4.16377067565918,5.734375,5.890625,5.734375,5.890625,190000
2000-05-04 00:00:00+00:00,4.265879154205322,5.875,5.890625,5.78125,5.78125,96000
2000-05-05 00:00:00+00:00,4.254533290863037,5.859375,5.875,5.8125,5.8125,38400
2000-05-08 00:00:00+00:00,4.265879154205322,5.875,5.90625,5.875,5.890625,96000
2000-05-09 00:00:00+00:00,4.209152698516846,5.796875,5.90625,5.796875,5.875,16400
